Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Games by Primary,Games by Secondary,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,Tournament,Ruleset,Date
Aaron Hayden,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,4,2,0,6,26.5,24.3,66.67%,6,,66.67%,26.50,24.30,66.67%,66.67%,26.50,Yes,BAO,ITC,28-Jul
Aaron Hayden,Renegade Guard,1,,1,1,Renegade Guard,1,1,4,2,0,6,26.5,24.3,66.67%,0,6,66.67%,26.50,24.30,,66.67%,,Yes,BAO,ITC,28-Jul
Aaron Hayden,Death Guard,1,,1,1,Death Guard,1,1,4,2,0,6,26.5,24.3,66.67%,0,6,66.67%,26.50,24.30,,66.67%,,Yes,BAO,ITC,28-Jul
Aaron Johnson,Asuryani,1,1,,1,Alaitoc,1,1,2,3,1,6,18.17,21.83,41.67%,6,,41.67%,18.17,21.83,41.67%,41.67%,18.17,No,BAO,ITC,28-Jul
Aaron Johnson,Asuryani,1,,1,,Alaitoc,1,,2,3,1,6,18.17,21.83,41.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Aaron Johnson,Asuryani,1,,1,,Alaitoc,1,,2,3,1,6,18.17,21.83,41.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Aaron Weisman,Imperial Knights,1,1,,1,House Taranis,1,1,3,3,0,6,25.17,22.67,50.00%,6,,50.00%,25.17,22.67,50.00%,50.00%,25.17,No,BAO,ITC,28-Jul
Aaron Weisman,Astra Militarum,1,,1,1,Cadian,1,1,3,3,0,6,25.17,22.67,50.00%,0,6,50.00%,25.17,22.67,,50.00%,,No,BAO,ITC,28-Jul
Aaron Weisman,Blood Angels,1,,1,1,Blood Angels,1,1,3,3,0,6,25.17,22.67,50.00%,0,6,50.00%,25.17,22.67,,50.00%,,No,BAO,ITC,28-Jul
Aaron Wisch,Dark Angels,1,1,,1,Dark Angels,1,1,4,2,0,6,26.83,19.83,66.67%,6,,66.67%,26.83,19.83,66.67%,66.67%,26.83,Yes,BAO,ITC,28-Jul
Aaron Wisch,Dark Angels,1,,1,,Dark Angels,1,,4,2,0,6,26.83,19.83,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Aaron Wisch,Blood Angels,1,,1,1,Blood Angels,1,1,4,2,0,6,26.83,19.83,66.67%,0,6,66.67%,26.83,19.83,,66.67%,,Yes,BAO,ITC,28-Jul
Adam Dye,Thousand Sons,1,1,,1,Thousand Sons,1,1,3,3,0,6,22.5,26,50.00%,6,,50.00%,22.50,26.00,50.00%,50.00%,22.50,No,BAO,ITC,28-Jul
Adam Dye,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,3,3,0,6,22.5,26,50.00%,0,6,50.00%,22.50,26.00,,50.00%,,No,BAO,ITC,28-Jul
Adam Dye,Renegade Knights,1,,1,1,Renegade Knights,1,1,3,3,0,6,22.5,26,50.00%,0,6,50.00%,22.50,26.00,,50.00%,,No,BAO,ITC,28-Jul
Adam Kinmont,Ynnari,1,1,,1,Ynnari,1,1,1,3,0,4,17.75,17.25,25.00%,4,,25.00%,17.75,17.25,25.00%,25.00%,17.75,No,BAO,ITC,28-Jul
Adam Kinmont,Neutral Fortification,1,,1,1,Neutral,1,1,1,3,0,4,17.75,17.25,25.00%,0,4,25.00%,17.75,17.25,,25.00%,,No,BAO,ITC,28-Jul
Adam Kinmont,Asuryani,1,,1,1,Ulthwe,1,1,1,3,0,4,17.75,17.25,25.00%,0,4,25.00%,17.75,17.25,,25.00%,,No,BAO,ITC,28-Jul
Adam Solis,Imperial Knights,1,1,,1,House Terryn,1,1,3,3,0,6,24.83,23,50.00%,6,,50.00%,24.83,23.00,50.00%,50.00%,24.83,No,BAO,ITC,28-Jul
Adam Solis,Blood Angels,1,,1,1,Blood Angels,1,1,3,3,0,6,24.83,23,50.00%,0,6,50.00%,24.83,23.00,,50.00%,,No,BAO,ITC,28-Jul
Adam Solis,Astra Militarum,1,,1,1,Cadian,1,1,3,3,0,6,24.83,23,50.00%,0,6,50.00%,24.83,23.00,,50.00%,,No,BAO,ITC,28-Jul
Aidan Hernandez,T'au Empire,1,1,,1,Bork'an Sept,1,1,4,2,0,6,24,17.33,66.67%,6,,66.67%,24.00,17.33,66.67%,66.67%,24.00,Yes,BAO,ITC,28-Jul
Aidan Hernandez,T'au Empire,1,,1,,Bork'an Sept,1,,4,2,0,6,24,17.33,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Alex Gannaway,Adeptus Astartes,1,1,,1,Ultramarines,1,1,1,5,0,6,19.67,23.2,16.67%,6,,16.67%,19.67,23.20,16.67%,16.67%,19.67,No,BAO,ITC,28-Jul
Alex Gannaway,Adeptus Astartes,1,,1,,Ultramarines,1,,1,5,0,6,19.67,23.2,16.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Alex Hawley,Thousand Sons,1,1,,1,Thousand Sons,1,1,4,2,0,6,27.5,19.17,66.67%,6,,66.67%,27.50,19.17,66.67%,66.67%,27.50,Yes,BAO,ITC,28-Jul
Alex Hawley,Thousand Sons,1,,1,,Thousand Sons,1,,4,2,0,6,27.5,19.17,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Alex Hawley,Chaos Daemons,1,,1,1,Tzeentch,1,1,4,2,0,6,27.5,19.17,66.67%,0,6,66.67%,27.50,19.17,,66.67%,,Yes,BAO,ITC,28-Jul
Alax Henderson,Death Guard,1,1,,1,Death Guard,1,1,3,3,0,6,23.17,26,50.00%,6,,50.00%,23.17,26.00,50.00%,50.00%,23.17,No,BAO,ITC,28-Jul
Alax Henderson,Chaos Daemons,1,,1,1,Nurgle,1,1,3,3,0,6,23.17,26,50.00%,0,6,50.00%,23.17,26.00,,50.00%,,No,BAO,ITC,28-Jul
Alax Henderson,Thousand Sons,1,,1,1,Thousand Sons,1,1,3,3,0,6,23.17,26,50.00%,0,6,50.00%,23.17,26.00,,50.00%,,No,BAO,ITC,28-Jul
Alexander Gonzalez,Necrons,1,1,,1,Mephrit Dynasty,1,1,3,3,0,6,25.5,25.83,50.00%,6,,50.00%,25.50,25.83,50.00%,50.00%,25.50,No,BAO,ITC,28-Jul
Alexander Gonzalez,Necrons,1,,1,,Sautekh Dynasty,1,1,3,3,0,6,25.5,25.83,50.00%,0,,,,,,50.00%,,No,BAO,ITC,28-Jul
Alexander Gonzalez,Necrons,1,,1,,Nihilakh Dynasty,1,1,3,3,0,6,25.5,25.83,50.00%,0,,,,,,50.00%,,No,BAO,ITC,28-Jul
Allan Hernandez,Asuryani,1,1,,1,Alaitoc,1,1,3,2,1,6,26,21,58.33%,6,,58.33%,26.00,21.00,58.33%,58.33%,26.00,No,BAO,ITC,28-Jul
Allan Hernandez,Asuryani,1,,1,,Alaitoc,1,,3,2,1,6,26,21,58.33%,0,,,,,,,,No,BAO,ITC,28-Jul
Andrew Helland,Imperial Knights,1,1,,1,House Raven,1,1,4,2,0,6,24.5,21.17,66.67%,6,,66.67%,24.50,21.17,66.67%,66.67%,24.50,Yes,BAO,ITC,28-Jul
Andrew Helland,Astra Militarum,1,,1,1,Vostroyan,1,1,4,2,0,6,24.5,21.17,66.67%,0,6,66.67%,24.50,21.17,,66.67%,,Yes,BAO,ITC,28-Jul
Andrew Helland,Cult Mechanicus,1,,1,1,Stygies,1,1,4,2,0,6,24.5,21.17,66.67%,0,6,66.67%,24.50,21.17,,66.67%,,Yes,BAO,ITC,28-Jul
Andy Demaria,Blood Angels,1,1,,1,Blood Angels,1,1,1,5,0,6,14.5,29.33,16.67%,6,,16.67%,14.50,29.33,16.67%,16.67%,14.50,No,BAO,ITC,28-Jul
Andy Demaria,Astra Militarum,1,,1,1,Catachan,1,1,1,5,0,6,14.5,29.33,16.67%,0,6,16.67%,14.50,29.33,,16.67%,,No,BAO,ITC,28-Jul
Andy Demaria,Blood Angels,1,,1,1,Blood Angels,1,1,1,5,0,6,14.5,29.33,16.67%,0,6,16.67%,14.50,29.33,,16.67%,,No,BAO,ITC,28-Jul
Andy Gonzales,Tyranids,1,1,,1,Kraken,1,1,3,3,0,6,24,25.5,50.00%,6,,50.00%,24.00,25.50,50.00%,50.00%,24.00,No,BAO,ITC,28-Jul
Andy Gonzales,Tyranids,1,,1,,Jormungandr,1,1,3,3,0,6,24,25.5,50.00%,0,,,,,,50.00%,,No,BAO,ITC,28-Jul
Arun Sharma,T'au Empire,1,1,,1,Bork'an Sept,1,1,4,2,0,6,21.67,18.5,66.67%,6,,66.67%,21.67,18.50,66.67%,66.67%,21.67,Yes,BAO,ITC,28-Jul
Arun Sharma,T'au Empire,1,,1,,Bork'an Sept,1,,4,2,0,6,21.67,18.5,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Arun Sharma,T'au Empire,1,,1,,Sa'cea Sept,1,1,4,2,0,6,21.67,18.5,66.67%,0,,,,,,66.67%,,Yes,BAO,ITC,28-Jul
Ben Vaughan,Imperial Knights,1,1,,1,House Terryn,1,1,5,1,0,6,25.67,18.67,83.33%,6,,83.33%,25.67,18.67,83.33%,83.33%,25.67,Yes,BAO,ITC,28-Jul
Ben Vaughan,Imperial Knights,1,,1,,House Terryn,1,,5,1,0,6,25.67,18.67,83.33%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Benjamin Jurek,Adeptus Custodes,1,1,,1,Adeptus Custodes,1,1,3,3,0,6,29.17,21,50.00%,6,,50.00%,29.17,21.00,50.00%,50.00%,29.17,No,BAO,ITC,28-Jul
Benjamin Jurek,Imperial Knights,1,,1,1,House Raven,1,1,3,3,0,6,29.17,21,50.00%,0,6,50.00%,29.17,21.00,,50.00%,,No,BAO,ITC,28-Jul
Benjamin Jurek,Astra Militarum,1,,1,1,Cadian,1,1,3,3,0,6,29.17,21,50.00%,0,6,50.00%,29.17,21.00,,50.00%,,No,BAO,ITC,28-Jul
Bill Durrett,Astra Militarum,1,1,,1,Cadian,1,1,2,3,1,6,19.17,23.67,41.67%,6,,41.67%,19.17,23.67,41.67%,41.67%,19.17,No,BAO,ITC,28-Jul
Bill Durrett,Astra Militarum,1,,1,,Militarum Tempestus,1,1,2,3,1,6,19.17,23.67,41.67%,0,,,,,,41.67%,,No,BAO,ITC,28-Jul
Bill Durrett,Space Wolves,1,,1,1,Space Wolves,1,1,2,3,1,6,19.17,23.67,41.67%,0,6,41.67%,19.17,23.67,,41.67%,,No,BAO,ITC,28-Jul
Brandon Grant,Astra Militarum,1,1,,1,Catachan,1,1,4,2,0,6,28.5,23.5,66.67%,6,,66.67%,28.50,23.50,66.67%,66.67%,28.50,Yes,BAO,ITC,28-Jul
Brandon Grant,Astra Militarum,1,,1,,Tallarn,1,1,4,2,0,6,28.5,23.5,66.67%,0,,,,,,66.67%,,Yes,BAO,ITC,28-Jul
Brandon Kieffer,Necrons,1,1,,1,Mephrit Dynasty,1,1,0,3,0,3,8,24.33,0.00%,3,,0.00%,8.00,24.33,0.00%,0.00%,8.00,No,BAO,ITC,28-Jul
Brandon Kieffer,Necrons,1,,1,,Mephrit Dynasty,1,,0,3,0,3,8,24.33,0.00%,0,,,,,,,,No,BAO,ITC,28-Jul
Brett Van Bebber,Blood Angels,1,1,,1,Blood Angels,1,1,2,4,0,6,14.83,24.83,33.33%,6,,33.33%,14.83,24.83,33.33%,33.33%,14.83,No,BAO,ITC,28-Jul
Brett Van Bebber,Officio Assassinorum,1,,1,1,Officio Assassinorum,1,1,2,4,0,6,14.83,24.83,33.33%,0,6,33.33%,14.83,24.83,,33.33%,,No,BAO,ITC,28-Jul
Brian Brian,T'au Empire,1,1,,1,T'au Sept,1,1,4,2,0,6,28.83,22.83,66.67%,6,,66.67%,28.83,22.83,66.67%,66.67%,28.83,Yes,BAO,ITC,28-Jul
Brian Brian,T'au Empire,1,,1,,T'au Sept,1,,4,2,0,6,28.83,22.83,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Brian Brian,T'au Empire,1,,1,,Vior'la Sept,1,1,4,2,0,6,28.83,22.83,66.67%,0,,,,,,66.67%,,Yes,BAO,ITC,28-Jul
Brian Jones,T'au Empire,1,1,,1,Bork'an Sept,1,1,0,4,0,4,15.25,21,0.00%,4,,0.00%,15.25,21.00,0.00%,0.00%,15.25,No,BAO,ITC,28-Jul
Brian Jones,T'au Empire,1,,1,,Sa'cea Sept,1,1,0,4,0,4,15.25,21,0.00%,0,,,,,,0.00%,,No,BAO,ITC,28-Jul
Brian Spalliero,Chaos Daemons,1,1,,1,Nurgle,1,1,4,2,0,6,22.5,17.17,66.67%,6,,66.67%,22.50,17.17,66.67%,66.67%,22.50,Yes,BAO,ITC,28-Jul
Brian Spalliero,Chaos Daemons,1,,1,,Nurgle,1,,4,2,0,6,22.5,17.17,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Brian Spalliero,Death Guard,1,,1,1,Death Guard,1,1,4,2,0,6,22.5,17.17,66.67%,0,6,66.67%,22.50,17.17,,66.67%,,Yes,BAO,ITC,28-Jul
Cameron Mitchell,Deathwatch,1,1,,1,Deathwatch,1,1,3,3,0,6,19,20.67,50.00%,6,,50.00%,19.00,20.67,50.00%,50.00%,19.00,No,BAO,ITC,28-Jul
Cameron Mitchell,Deathwatch,1,,1,,Deathwatch,1,,3,3,0,6,19,20.67,50.00%,0,,,,,,,,No,BAO,ITC,28-Jul
Cameron Mitchell,Deathwatch,1,,1,,Deathwatch,1,,3,3,0,6,19,20.67,50.00%,0,,,,,,,,No,BAO,ITC,28-Jul
Carlos Kaiser,Thousand Sons,1,1,,1,Thousand Sons,1,1,5,1,0,6,32.33,18,83.33%,6,,83.33%,32.33,18.00,83.33%,83.33%,32.33,Yes,BAO,ITC,28-Jul
Carlos Kaiser,Chaos Space Marines,1,,1,1,World Eaters,1,1,5,1,0,6,32.33,18,83.33%,0,6,83.33%,32.33,18.00,,83.33%,,Yes,BAO,ITC,28-Jul
Carlos Kaiser,Chaos Space Marines,1,,1,,Alpha Legion,1,1,5,1,0,6,32.33,18,83.33%,0,,,,,,83.33%,,Yes,BAO,ITC,28-Jul
Casey Herbst,Drukhari,1,1,,1,Kabal of the Black Heart,1,1,3,2,1,6,22.5,22.33,58.33%,6,,58.33%,22.50,22.33,58.33%,58.33%,22.50,No,BAO,ITC,28-Jul
Casey Herbst,Drukhari,1,,1,,Cult of the Cursed Blade,1,1,3,2,1,6,22.5,22.33,58.33%,0,,,,,,58.33%,,No,BAO,ITC,28-Jul
Chris Jones,Adeptus Custodes,1,1,,1,Adeptus Custodes,1,1,1,4,1,6,23.67,27.67,25.00%,6,,25.00%,23.67,27.67,25.00%,25.00%,23.67,No,BAO,ITC,28-Jul
Chris Jones,Astra Militarum,1,,1,1,Elysian Drop Troops,1,1,1,4,1,6,23.67,27.67,25.00%,0,6,25.00%,23.67,27.67,,25.00%,,No,BAO,ITC,28-Jul
Chris Jones,Officio Assassinorum,1,,1,1,Officio Assassinorum,1,1,1,4,1,6,23.67,27.67,25.00%,0,6,25.00%,23.67,27.67,,25.00%,,No,BAO,ITC,28-Jul
Chris Nelson,Asuryani,1,1,,1,Alaitoc,1,1,4,2,0,6,25.67,23.17,66.67%,6,,66.67%,25.67,23.17,66.67%,66.67%,25.67,Yes,BAO,ITC,28-Jul
Chris Nelson,Asuryani,1,,1,,Alaitoc,1,,4,2,0,6,25.67,23.17,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Chris Nelson,Drukhari,1,,1,1,Kabal of the Black Heart,1,1,4,2,0,6,25.67,23.17,66.67%,0,6,66.67%,25.67,23.17,,66.67%,,Yes,BAO,ITC,28-Jul
Chris Vu,T'au Empire,1,1,,1,Dal'yth Sept,1,1,2,3,1,6,21.17,25.33,41.67%,6,,41.67%,21.17,25.33,41.67%,41.67%,21.17,No,BAO,ITC,28-Jul
Chris Vu,T'au Empire,1,,1,,Dal'yth Sept,1,,2,3,1,6,21.17,25.33,41.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Chris Vu,T'au Empire,1,,1,,Sa'cea Sept,1,1,2,3,1,6,21.17,25.33,41.67%,0,,,,,,41.67%,,No,BAO,ITC,28-Jul
Chris Winters,Necrons,1,1,,1,Nephrekh Dynasty,1,1,2,4,0,6,19.33,26.83,33.33%,6,,33.33%,19.33,26.83,33.33%,33.33%,19.33,No,BAO,ITC,28-Jul
Chris Winters,Necrons,1,,1,,Nephrekh Dynasty,1,,2,4,0,6,19.33,26.83,33.33%,0,,,,,,,,No,BAO,ITC,28-Jul
Christopher Pelletier,Imperial Knights,1,1,,1,House Hawkshroud,1,1,3,3,0,6,22.67,21.17,50.00%,6,,50.00%,22.67,21.17,50.00%,50.00%,22.67,No,BAO,ITC,28-Jul
Christopher Talley,T'au Empire,1,1,,1,T'au Sept,1,1,3,3,0,6,25,20.67,50.00%,6,,50.00%,25.00,20.67,50.00%,50.00%,25.00,No,BAO,ITC,28-Jul
Christopher Talley,T'au Empire,1,,1,,Bork'an Sept,1,1,3,3,0,6,25,20.67,50.00%,0,,,,,,50.00%,,No,BAO,ITC,28-Jul
Christopher Talley,T'au Empire,1,,1,,Sa'cea Sept,1,1,3,3,0,6,25,20.67,50.00%,0,,,,,,50.00%,,No,BAO,ITC,28-Jul
Clinton Carter,Grey Knights,1,1,,1,Grey Knights,1,1,2,4,0,6,22.5,25.5,33.33%,6,,33.33%,22.50,25.50,33.33%,33.33%,22.50,No,BAO,ITC,28-Jul
Clinton Carter,Astra Militarum,1,,1,1,Cadian,1,1,2,4,0,6,22.5,25.5,33.33%,0,6,33.33%,22.50,25.50,,33.33%,,No,BAO,ITC,28-Jul
Clinton Carter,Adeptus Custodes,1,,1,1,Adeptus Custodes,1,1,2,4,0,6,22.5,25.5,33.33%,0,6,33.33%,22.50,25.50,,33.33%,,No,BAO,ITC,28-Jul
Cole Lorch,Necrons,1,,1,,Sautekh Dynasty,1,1,2,3,1,6,23.5,21.17,41.67%,0,,,,,,41.67%,,No,BAO,ITC,28-Jul
Cole Lorch,Necrons,1,1,,1,Nephrekh Dynasty,1,1,2,3,1,6,23.5,21.17,41.67%,6,,41.67%,23.50,21.17,41.67%,41.67%,23.50,No,BAO,ITC,28-Jul
Cole Lorch,Necrons,1,,1,,Sautekh Dynasty,1,,2,3,1,6,23.5,21.17,41.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Colin Miller,Adeptus Custodes,1,1,,1,Adeptus Custodes,1,1,2,3,0,5,21,26.83,40.00%,5,,40.00%,21.00,26.83,40.00%,40.00%,21.00,No,BAO,ITC,28-Jul
Colin Miller,Imperial Knights,1,,1,1,House Hawkshroud,1,1,2,3,0,5,21,26.83,40.00%,0,5,40.00%,21.00,26.83,,40.00%,,No,BAO,ITC,28-Jul
Colin Sherman,Tyranids,1,1,,1,Kraken,1,1,4,2,0,6,29,21.33,66.67%,6,,66.67%,29.00,21.33,66.67%,66.67%,29.00,Yes,BAO,ITC,28-Jul
Colin Sherman,Tyranids,1,,1,,Kraken,1,,4,2,0,6,29,21.33,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Dan May,Thousand Sons,1,1,,1,Thousand Sons,1,1,2,4,0,6,20,24.83,33.33%,6,,33.33%,20.00,24.83,33.33%,33.33%,20.00,No,BAO,ITC,28-Jul
Dan May,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,2,4,0,6,20,24.83,33.33%,0,6,33.33%,20.00,24.83,,33.33%,,No,BAO,ITC,28-Jul
Daniel Katz,Chaos Space Marines,1,1,,1,Black Legion,1,1,2,3,1,6,19.83,23.67,41.67%,6,,41.67%,19.83,23.67,41.67%,41.67%,19.83,No,BAO,ITC,28-Jul
Daniel Katz,Thousand Sons,1,,1,1,Thousand Sons,1,1,2,3,1,6,19.83,23.67,41.67%,0,6,41.67%,19.83,23.67,,41.67%,,No,BAO,ITC,28-Jul
Daniel Katz,Chaos Daemons,1,,1,1,Khorne,1,1,2,3,1,6,19.83,23.67,41.67%,0,6,41.67%,19.83,23.67,,41.67%,,No,BAO,ITC,28-Jul
Daniel Olivas,Ynnari,1,1,,1,Ynnari,1,1,4,2,0,6,28.5,22.33,66.67%,6,,66.67%,28.50,22.33,66.67%,66.67%,28.50,Yes,BAO,ITC,28-Jul
Daniel Olivas,Asuryani,1,,1,1,Alaitoc,1,1,4,2,0,6,28.5,22.33,66.67%,0,6,66.67%,28.50,22.33,,66.67%,,Yes,BAO,ITC,28-Jul
Daniel Olivas,Drukhari,1,,1,1,Kabal of the Black Heart,1,1,4,2,0,6,28.5,22.33,66.67%,0,6,66.67%,28.50,22.33,,66.67%,,Yes,BAO,ITC,28-Jul
Dave Ruthenberg,Adeptus Custodes,1,1,,1,Adeptus Custodes,1,1,1,3,0,4,15,19,25.00%,4,,25.00%,15.00,19.00,25.00%,25.00%,15.00,No,BAO,ITC,28-Jul
Dave Ruthenberg,Astra Militarum,1,,1,1,Cadian,1,1,1,3,0,4,15,19,25.00%,0,4,25.00%,15.00,19.00,,25.00%,,No,BAO,ITC,28-Jul
David Faris,Deathwatch,1,1,,1,Deathwatch,1,1,1,3,0,4,9,17,25.00%,4,,25.00%,9.00,17.00,25.00%,25.00%,9.00,No,BAO,ITC,28-Jul
David Faris,Deathwatch,1,,1,,Deathwatch,1,,1,3,0,4,9,17,25.00%,0,,,,,,,,No,BAO,ITC,28-Jul
David Faris,Blood Angels,1,,1,1,Blood Angels,1,1,1,3,0,4,9,17,25.00%,0,4,25.00%,9.00,17.00,,25.00%,,No,BAO,ITC,28-Jul
David Hetherington,Blood Angels,1,1,,1,Blood Angels,1,1,4,2,0,6,19.33,18,66.67%,6,,66.67%,19.33,18.00,66.67%,66.67%,19.33,Yes,BAO,ITC,28-Jul
David Hetherington,Astra Militarum,1,,1,1,Cadian,1,1,4,2,0,6,19.33,18,66.67%,0,6,66.67%,19.33,18.00,,66.67%,,Yes,BAO,ITC,28-Jul
David Hetherington,Astra Militarum,1,,1,,Cadian,1,,4,2,0,6,19.33,18,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
David Singer,Death Guard,1,1,,1,Death Guard,1,1,2,4,0,6,20.17,24.5,33.33%,6,,33.33%,20.17,24.50,33.33%,33.33%,20.17,No,BAO,ITC,28-Jul
David Singer,Death Guard,1,,1,,Death Guard,1,,2,4,0,6,20.17,24.5,33.33%,0,,,,,,,,No,BAO,ITC,28-Jul
Derrick Stenson,Imperial Knights,1,1,,1,House Hawkshroud,1,1,3,3,0,6,21.83,23,50.00%,6,,50.00%,21.83,23.00,50.00%,50.00%,21.83,No,BAO,ITC,28-Jul
Doc Dragon,Astra Militarum,1,1,,1,Militarum Tempestus,1,1,1,4,1,6,22,29.67,25.00%,6,,25.00%,22.00,29.67,25.00%,25.00%,22.00,No,BAO,ITC,28-Jul
Doc Dragon,Blood Angels,1,,1,1,Blood Angels,1,1,1,4,1,6,22,29.67,25.00%,0,6,25.00%,22.00,29.67,,25.00%,,No,BAO,ITC,28-Jul
Doc Dragon,Astra Militarum,1,,1,,Cadian,1,1,1,4,1,6,22,29.67,25.00%,0,,,,,,25.00%,,No,BAO,ITC,28-Jul
Domagoj Mitrovic,Tyranids,1,1,,1,Kraken,1,1,4,2,0,6,23.33,22.17,66.67%,6,,66.67%,23.33,22.17,66.67%,66.67%,23.33,Yes,BAO,ITC,28-Jul
Domagoj Mitrovic,Tyranids,1,,1,,Kraken,1,,4,2,0,6,23.33,22.17,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Domagoj Mitrovic,Genestealer Cults,1,,1,1,Genestealer Cults,1,1,4,2,0,6,23.33,22.17,66.67%,0,6,66.67%,23.33,22.17,,66.67%,,Yes,BAO,ITC,28-Jul
Domenic Grove,Renegade Guard,1,1,,1,Renegade Guard,1,1,1,2,0,3,21,25.33,33.33%,3,,33.33%,21.00,25.33,33.33%,33.33%,21.00,No,BAO,ITC,28-Jul
Domenic Grove,Renegade Guard,1,,1,,Renegade Guard,1,,1,2,0,3,21,25.33,33.33%,0,,,,,,,,No,BAO,ITC,28-Jul
Domenic Grove,Chaos Space Marines,1,,1,1,World Eaters,1,1,1,2,0,3,21,25.33,33.33%,0,3,33.33%,21.00,25.33,,33.33%,,No,BAO,ITC,28-Jul
Don Hooson,Death Guard,1,1,,1,Death Guard,1,1,6,0,0,6,29.5,16.83,100.00%,6,,100.00%,29.50,16.83,100.00%,100.00%,29.50,Yes,BAO,ITC,28-Jul
Don Hooson,Renegade Knights,1,,1,1,Renegade Knights,1,1,6,0,0,6,29.5,16.83,100.00%,0,6,100.00%,29.50,16.83,,100.00%,,Yes,BAO,ITC,28-Jul
Drew Alexander,Tyranids,1,1,,1,Behemoth,1,1,0,6,0,6,16.67,28.67,0.00%,6,,0.00%,16.67,28.67,0.00%,0.00%,16.67,No,BAO,ITC,28-Jul
Dylan Campiotti,Drukhari,1,1,,1,Kabal of the Black Heart,1,1,2,3,0,5,16,20.4,40.00%,5,,40.00%,16.00,20.40,40.00%,40.00%,16.00,No,BAO,ITC,28-Jul
Dylan Campiotti,Drukhari,1,,1,,Prophets of Flesh,1,1,2,3,0,5,16,20.4,40.00%,0,,,,,,40.00%,,No,BAO,ITC,28-Jul
Dylan Campiotti,Drukhari,1,,1,,Cult of the Cursed Blade,1,1,2,3,0,5,16,20.4,40.00%,0,,,,,,40.00%,,No,BAO,ITC,28-Jul
Eric Buchanan,Adeptus Astartes,1,1,,1,Raven Guard,1,1,1,5,0,6,13.5,21.5,16.67%,6,,16.67%,13.50,21.50,16.67%,16.67%,13.50,No,BAO,ITC,28-Jul
Eric Buchanan,Imperial Knights,1,,1,1,House Hawkshroud,1,1,1,5,0,6,13.5,21.5,16.67%,0,6,16.67%,13.50,21.50,,16.67%,,No,BAO,ITC,28-Jul
Eric Buchanan,Adeptus Astartes,1,,1,,Raven Guard,1,,1,5,0,6,13.5,21.5,16.67%,0,,,,,,,,No,BAO,ITC,28-Jul
Eric Johnsen,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,0,1,0,1,16,31,0.00%,1,,0.00%,16.00,31.00,0.00%,0.00%,16.00,No,BAO,ITC,28-Jul
Eric Johnsen,Chaos Space Marines,1,,1,,Alpha Legion,1,,0,1,0,1,16,31,0.00%,0,,,,,,,,No,BAO,ITC,28-Jul
Eric Johnsen,Chaos Daemons,1,,1,1,Tzeentch,1,1,0,1,0,1,16,31,0.00%,0,1,0.00%,16.00,31.00,,0.00%,,No,BAO,ITC,28-Jul
Garret Acord,T'au Empire,1,1,,1,T'au Sept,1,1,4,2,0,6,18.17,23.17,66.67%,6,,66.67%,18.17,23.17,66.67%,66.67%,18.17,Yes,BAO,ITC,28-Jul
Garret Acord,T'au Empire,1,,1,,T'au Sept,1,,4,2,0,6,18.17,23.17,66.67%,0,,,,,,,,Yes,BAO,ITC,28-Jul
Geoff Robinson,Adeptus Custodes,1,1,,1,Adeptus Custodes,1,1,5,1,0,6,32.67,15,83.33%,6,,83.33%,32.67,15.00,83.33%,83.33%,32.67,Yes,BAO,ITC,28-Jul
Geoff Robinson,Astra Militarum,1,,1,1,Cadian,1,1,5,1,0,6,32.67,15,83.33%,0,6,83.33%,32.67,15.00,,83.33%,,Yes,BAO,ITC,28-Jul
Geoff Robinson,Officio Assassinorum,1,,1,1,Officio Assassinorum,1,1,5,1,0,6,32.67,15,83.33%,0,6,83.33%,32.67,15.00,,83.33%,,Yes,BAO,ITC,28-Jul
George Macrodimitris,Chaos Daemons,1,1,,1,Nurgle,1,1,3,2,1,6,20.83,21,58.33%,6,,58.33%,20.83,21.00,58.33%,58.33%,20.83,No,BAO,ITC,28-Jul
